"location","date","total_deaths_per_million","population_density","human_development_index"
"Botswana","2021-06-01",354.157,4.044,0.735
"Canada","2021-06-01",688.428,4.037,0.929
"Guyana","2021-06-01",494.731,3.952,0.682
"Libya","2021-06-01",449.376,3.623,0.724
"Suriname","2021-06-01",528.897,3.612,0.738
"Iceland","2021-06-01",81.347,3.404,0.949
"Australia","2021-06-01",35.287,3.202,0.944
"Namibia","2021-06-01",330.068,3.078,0.646
"Mongolia","2021-06-01",85.904,1.98,0.737
"Greenland","2021-06-01",0,0.137,0
"Africa","2021-06-01",95.344,0,0
"Anguilla","2021-06-01",0,0,0
"Asia","2021-06-01",148.304,0,0
"Bonaire Sint Eustatius and Saba","2021-06-01",642.844,0,0
"Cook Islands","2021-06-01",0,0,0
"Europe","2021-06-01",1438.488,0,0
"European Union","2021-06-01",1628.288,0,0
"Falkland Islands","2021-06-01",0,0,0
"Guernsey","2021-06-01",0,0,0
"High income","2021-06-01",1242.499,0,0
"International","2021-06-01",0,0,0
"Jersey","2021-06-01",0,0,0
"Low income","2021-06-01",30.047,0,0
"Lower middle income","2021-06-01",201.721,0,0
"Montserrat","2021-06-01",200.763,0,0
"North America","2021-06-01",1474.662,0,0
"Northern Cyprus","2021-06-01",0,0,0
"Oceania","2021-06-01",28.968,0,0
"Saint Helena","2021-06-01",0,0,0
"Saint Pierre and Miquelon","2021-06-01",0,0,0
"South America","2021-06-01",2070.722,0,0
"South Sudan","2021-06-01",10.104,0,0.433
"Syria","2021-06-01",97.069,0,0.567
"Taiwan","2021-06-01",5.743,0,0
"Upper middle income","2021-06-01",589.169,0,0
"Vatican","2021-06-01",0,0,0
"Wallis and Futuna","2021-06-01",630.972,0,0
